AAPL
MSFT
GOOG
GOOGL
AMZN
META
TSLA
NVDA
AMD
NFLX
BABA
INTC
ORCL
CRM
UBER
LYFT
SPY
QQQ
IWM
TLT
XOM
CVX
JPM
BAC
WFC

